RUN,Run,,Total,Trigger,TARGET,BEAM,,,TRIGGER,FADC,,,CLUSTER,Cluster,,,ECAL Scalers,,NOTES,
3238,12/13/2014 08.58 PM,12/13/2014 11.02 PM,28.5 M,4,1.5 um Pt,8.2,0.9,0.1,Loose Pairs +1kHz Pulser,3,50,,50,1,+/- 8,+/- 16,362 kHz,131 kHz,,
3240,12/13/2014 11.05 PM,12/14/2014 00.50 AM ,24.6 M,4.4,1.5 um Pt,8.6,0.96,0.08,Loose Pairs +1kHz Pulser,3,25,,50,1,+/- 8,+/- 16,,,,
3241,12/14/2014 00.50 AM,12/14/2014 01.35 AM ,20.5 M,7,1.5 um Pt,9.1,0.88,0.06,Loose Pairs +1Hz Pulser,3,50,,200,500,+/- 12,+/- 16,297 kHz,123 kHz,,
3242,12/14/2014 01.37 AM,12/14/2014 02.36 AM ,20 M,7,1.5 um Pt,8.7,0.87,0.06,Loose Pairs +1Hz Pulser,3,25,,200,500,+/- 12,+/- 16,4867 kHz,116 kHz,,
3244,12/14/2014 02.47 AM,12/14/2014 03.10 AM ,10 M,7,1.5 um Pt,9,0.96,0.08,Loose Pairs +1Hz Pulser,3,25,3010/200,200,500,+/- 12,+/- 16,4712 kHz,132 kHz,,
3245,12/14/2014 03.15 AM,12/14/2014 04.20 AM ,27 M,7,1.5 um Pt,8.4,0.97,0.14,Loose Pairs +1Hz Pulser,3,12,3010/200,200,500,+/- 12,+/- 16,28953 kHz,120 kHz,,
3246,12/14/2014 04.34 AM,12/14/2014 05.56 AM ,20 M,4,1.5 um Pt,9,1,0.2,Loose Pairs +100Hz Pulser,3,12,3010/200,200,500,+/- 12,+/- 16,28350 kHz,128 kHz,,
3247,12/14/2014 06.00 PM,12/14/2014 08.34 AM ,29.7M,4,1.5 um Pt,9.3,0.75,0.1,Loose Pairs +100Hz Pulser,3,12,3180/400,200,500,+/- 12,+/- 16,28699 kHz,131 kHz,,
3248,12/14/2014 08.35 AM ,12/14/2014 09.41 AM ,15.5 M,4,1.5 um Pt,8.1,1.2,0.25,Loose Pairs +100Hz Pulser,3,12,3180/400,200,500,+/- 12,+/- 16,27622 kHz,119 kHz,using Fcup current,
3249,12/14/2014 10.00 AM ,12/14/2014 11.20 AM ,23.9 M,7.6,1.5 um Pt,10.8,1,0.23,Single cluster +100Hz pulser,3,12,3180/400,50,??,+/- 12,+/- 16,27149 kHz,149 kHz,,
3250,12/14/2014 11.26 AM ,12/14/2014 11.34 AM ,2.1 M,7.2,5 um Pt,10,1.3,0,Single cluster +100Hz pulser,3,12,3180/400,50,??,+/- 12,+/- 16,30000 kHz,411 kHz,,
3251,12/14/2014 11.36 AM,12/14/2014 12.23 PM,18 M,7.5,5 um Pt,11.6,1.3,0,Single cluster +100Hz pulser,3,12,3180/400,50,??,+/- 12,+/- 16,30000 kHz,444 kHz,,
3254,12/14/2014 12.30 PM,12/14/2014 12.56 PM,9M,7.6,5 um Pt,10.8,1.06,0.36,Single cluster +100Hz pulser,3,12,3180/400,??,See elog,+/- 12,+/- 16,28700 kHz,386 kHz,,
3255,12/14/2014 13.19 PM,12/14/2014 13.44 PM,10M,7.6,5 um Pt,20.3,0.99,0.39,Single cluster +100Hz pulser,3,12,3180/400,500,500,+/- 12,+/- 16,31300 kHz,729 kHz,,
3256,12/14/2014 13.47 PM,12/14/2014 14.11 PM,10.5M,7.5,5 um Pt,43,1,0.28,Single cluster +100Hz pulser,3,12,3180/400,500,500,+/- 12,+/- 16,38000 kHz,1571 kHz,,
3257,12/14/2014 14.15 PM,,10M,7.5,5 um Pt,74,1.1,0.5,Single cluster +100Hz pulser,3,12,3180/400,500,500,+/- 12,+/- 16,47000 kHz,2790 kHz,,
3258,12/14/2014 14.49 PM,12/14/2014 03.32 PM,18.2 M,7.5,5 um Pt,185,1.6,0.9,Single cluster +100Hz pulser,3,12,3180/400,500,500,+/- 12,+/- 16,76000 kHz,6400 kHz,,
3259,12/14/2014 03.39 PM,12/14/2014 03.49 PM,0.4M,7.6,5 um Pt,162,1.6,0.9,Single cluster +100Hz pulser,3,12,3180/400,500,500,+/- 12,+/- 16,69 MHz,5.6 MHz,,
3260,12/14/2014 03.54 PM,12/14/2014 04.44 PM,20 M,7.5,5 um Pt,214,1.7,0.9,Single cluster +100Hz pulser,3,12,3010/200,500,500,+/- 12,+/- 16,79.4 MHz,6.8 MHz,,
3261,12/14/2014 04.46 PM ,12/14/2014 05.16 PM,11 M,7.5,5 um Pt,202,-0.3,0.2,Single cluster +100Hz pulser,3,12,3010/200,500,500,+/- 12,+/- 16,80.6 MHz,7 MHz,,
3263,12/14/2014 05.36 PM,12/14/2014 06.22 PM,20 M,7.5,5 um Pt,180,-0.1,0.4,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,78.7 MHz,6.7 MHz,,
3264,12/14/2014 06.24 PM,12/14/2014 07.17 PM,16.1 M,7.5,5 um Pt,185,-0.1,0.4,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,76.3 MHz,6.3 MHz,,
3265,12/14/2014 07.36 PM,12/14/2014 08.07PM ,10.5 M,7.5,5 um Pt,183,-0.1,0.4,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,78.9 MHz,6.5 MHz,,
3266,12/14/2014 08.20 PM,12/14/2014 09.19 PM,25 M,7.5,5 um Pt,136,-0.1,0.44,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,67 MHz,5.0 MHz,,
3267,12/14/2014 09.21 PM,12/14/2014 09.46 PM,5 M,7.5,5 um Pt,151,-0.5,0.4,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,71 MHz,5.4 MHz,,
3268,12/14/2014 09.53 PM,12/14/2014 10.04 PM,688 k,1,NONE,OFF,,,PEDESTAL : pulser at 1kHz,7,12,3010/200,100,200,+/- 12,+/- 16,-,-,DAQ Problem,
3269,12/14/2014 10.21 PM,12/14/2014 10.30 PM,,1,NONE,138,-0.01,0.5,PEDESTAL : pulser at 1kHz,7,12,3010/200,100,200,+/- 12,+/- 16,65.7 MHz,4.9 MHz,DAQ Problem,
3274,12/14/2014 11.25 PM,12/14/2014 11.30 PM ,450 K,1,NONE,145,-0.05,0.5,PEDESTAL : pulser at 1kHz,1,0,3010/200,100,200,+/- 12,+/- 16,,,,
3275,12/14/2014 11.30 PM,12/14/2014 11.40 PM ,,,NONE,145,,,PEDESTAL : pulser at 1kHz,1,0,3010/200,100,200,+/- 12,+/- 16,,,BEAM DROPPED,
3276,12/15/2014 00.04 AM,12/15/2014 01.12 AM ,30.7 M,7,5 um Pt,145,-0.08,0.4,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,67 MHz,5.4 MHz,,
3286,12/15/2014 03.37 AM,12/15/2014 05.00 AM ,33 M,7.5,5 um Pt,145,-0.12,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,65.7 MHz,5.0 MHz,,
3287,12/15/2014 05.02 AM,12/15/2014 06.28 AM ,38 M,7,5 um Pt,145,-0.5,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,65 MHz,5.0 MHz,,
3288,12/15/2014 06.30 AM,12/15/2014 07.46 AM ,32M,7,5 um Pt,145,-0.3,0.48,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,63 MHz,5.0 MHz,,
3289,12/15/2014 07.52 AM,12/15/2014 08.42 AM ,19M,7.5,5 um Pt,137,-0.1,0.47,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,63 MHz,5.0 MHz,,
3290,12/15/2014 08.52 AM,12/15/2014 10.05 AM ,30.7 M,7.5,5 um Pt,137,-0.1,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,62 MHz,5.0 MHz,,
3291,12/15/2014 10.06 AM,,15M,7.5,5 um Pt,141,-0.04,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,64 MHz,5.0 MHz,,
3292,12/15/2014 12.07 PM,,,0.2,NONE,7.4,0.4,0.4,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,23 MHz,21.0 kHz,SVT Collimator IN,
3293,12/12/2014 01.32 PM,12/15/2014 01.58 PM,7M,7.5,5 um Pt,?,0.1,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 12,+/- 16,37.3 MHz,1.7 MHz,No Collimator,Beam Dropped 20 Minutes In
3295,12/12/14 02:15 PM,,100K,,NONE,OFF,,,1kHz Pulser,1,0,,,,,,,,,
3312,12/15/14 07:11 PM,12/15/2014 07.23 PM,24 M,50,5 um Pt,50,-0.11,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,42 MHz,1.6 MHz,MODE 7 + BLOCKING FIXED,# DAQ STOPPED
3313,12/15/2014 07.35 PM,12/15/2014 07.47 PM,50 M,78,5 um Pt,75,-0.03,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,51 MHz,2.9 MHz,All Subsequent Mode-7 Is Blocking,* DAQ CRASHED
3314,12/15/2014 07.53 PM,12/15/2014 08.10 PM,40 M,78,5 um Pt,100,0.05,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,58 MHz,3.7 MHz,,
3315,12/15/2014 08.13 AM,12/15/2014 08.23 PM,31 M,79,5 um Pt,100,-0.1,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,58 MHz,3.7 MHz,,
3316,12/15/2014 08.26 PM,12/15/2014 08.40 PM,,78,5 um Pt,76,-0.05,0.44,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,51.2 MHz,2.9 MHz,,
3317,12/15/2014 08.53 PM,12/15/2014 09.06 PM,53 M,70,5 um Pt,60,0.1,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,44.4 MHz,2.1  MHz,,
3318,12/15/2014 09.09 PM,12/15/2014 09.25 PM,48 M,55,5 um Pt,50,-0.05,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41 MHz,1.7 MHz,,
3319,12/15/2014 09.33 PM,12/15/2014 09.48 PM,50 M,59,5 um Pt,50,-0.1,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41 MHz,1.9 MHz,,
3320,12/15/2014 09.50 PM,12/15/2014 10.05 PM,50 M,58,5 um Pt,50.3,-0.04,0.46,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41.5 MHz,1.8 MHz,,
3321,12/15/14 10:07 PM,12/15/14 10:26 PM,50 M,58,5 um Pt,50,0.05,0.45,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41.6 MHz,1.8 MHz,,
3322,12/15/14 10:27 PM,12/15/14 10:41 PM,50 M,58,5 um Pt,50,-0.05,0.52,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41.6 MHz,1.9 MHz,,
3323,12/15/14 10:42 PM,12/15/2014 10:56:PM,50 M,58,5 um Pt,50,-0.06,0.52,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41.9 MHz,1.9 MHz,,
3324,12/15/14 10:57 PM,12/15/2014 11:11:PM,52 M,58,5 um Pt,50,-0.07,0.45,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41.3 MHz,1.9 MHz,,
3325,12/15/14 11:15 PM,12/15/2014 11:11:PM,51 M,58,5 um Pt,50,-0.08,0.45,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40.8 MHz,1.9 MHz,NEW PEDSTALS,
3326,12/15/2014 11.31 PM,12/15/2014 011.46 PM ,22 M,58,5 um Pt,20,-0.04,0.49,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40 Mhz,1.9 MHz,,
3327,12/16/2014 00.21 AM ,12/16/2014 00.40 AM ,41 M,61,5 um Pt,50,-0.06,0.48,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40 Mhz,1.9 MHz,,
3330,12/16/2014 02.00 AM ,12/16/2014 02.13 AM ,50 M,61,5 um Pt,50,-0.05,0.5,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,38 Mhz,1.7 MHz,,
3335,12/16/2014 03.33 AM ,12/16/2014 03.47 AM ,50 M,61,5 um Pt,50,0.16,0.77,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,39 MHz,1.9 MHz,,
3336,12/16/2014 03.50 AM ,12/16/2014 04.03 AM ,50 M,60,5 um Pt,50,0.1,0.76,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,39 MHz,1.9 MHz,,
3337,12/16/2014 04.05 AM ,12/16/2014 04.17 AM ,50 M,60,5 um Pt,50,-0.05,0.46,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40 Mhz,2.0 MHz,,
3338,12/16/2014 04.18 AM ,12/16/2014 04.34 AM ,50 M,60,5 um Pt,50,0.13,0.65,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,39 MHz,1.9 MHz,,
3339,12/16/2014 04.35 AM ,12/16/2014 04.49 AM ,50 M,60,5 um Pt,50,-0.07,0.47,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,41 MHz,2.1  MHz,,
3340,12/16/2014 04.49 AM ,12/16/2014 05.04 AM ,50 M,60,5 um Pt,50,0.002,0.53,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,39 MHz,1.9 MHz,,
3341,12/16/2014 05.04 AM ,12/16/2014 05.18 AM ,50 M,60,5 um Pt,52,-0.04,0.46,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,39 MHz,1.9 MHz,,
3343,12/16/2014 05.35 AM ,12/16/2014 05.50 AM ,50 M,60,5 um Pt,53,-0.04,0.48,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40 Mhz,2.0 MHz,,
3344,12/16/2014 05.50 AM ,12/16/2014 06.01 AM ,11 M,60,5 um Pt,53,-0.09,0.43,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40 Mhz,2.0 MHz,,
3345,12/16/2014 06.15 AM ,12/16/2014 06.30 AM ,50 M,60,5 um Pt,50,-0.06,0.69,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,39 MHz,1.9 MHz,,
3346,12/16/2014 06.30 AM ,12/16/2014 06.42 AM ,23 M,60,5 um Pt,55,-0.06,0.49,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40.1 MHz,2.0 MHz,,
3347,12/16/2014 06.50 AM ,12/16/2014 07.03 AM ,50M,60,5 um Pt,52,-0.08,0.42,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40 Mhz,1.9 MHz,,
3348,12/16/2014 07.05 AM ,12/16/2014 07.19 AM ,50.2M,60,5 um Pt,52,-0.04,0.48,Loose Pairs +100Hz Pulser,7,12,3010/200,100,200,+/- 8,+/- 16,40.6 Mhz,2.0 MHz,,
3374,12/17/14 10:05 AM,12/17/14 05:46 PM,,,NONE,OFF,,,Cosmics+1Hz Pulser,1,0,,,,,,,,"Mode 1, Non-Blocking",
3393,12/18/14 07:57 PM,12/18/14 08:43 PM,110M,50,5 um Pt,50,,,Single + Pairs,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Low angle elastics,SSP Pairs Tag Fixed
3394,12/18/14,12/19/14 09:12 PM,100M,50,5 um Pt,50,,,Single + Pairs,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Low angle elastics,
3395,12/18/14 09:21 PM,12/18/14 09:53 PM,57M,33,5 um Pt,50,,,Single + Pairs,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Med. angle elastics (mask0),
3396,12/18/14 09:54 PM,12/18/14 10:35 PM,100M,66,5 um Pt,100,,,Single + Pairs,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Med. angle elastics (mask0),DAQ CRASH
3398,12/18/14 10:33 PM,12/18/14 10:41 PM,1M,2,5 um Pt,100,,,Single + Pairs,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Large angle elastics (mask1),
3399,12/18/14 10:44 PM,12/18/14 11:03 PM,3M,Various,5 um Pt,200,,,Single + Pairs,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Large angle elastics (mask1),"MIN #hits to 4, VARIED PRESCALES"
3401,12/18/14 11:07 PM,12/18/14 11:35 PM,100M,70,5 um Pt,180,,,Single,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Med. angle elastics (mask0),ENDED ON DAQ CRASH
3402,12/18/14 11:43 PM,12/19/14 12:28 AM,150M,65,5 um Pt,150,,,Single,7,12,3010/200,100,1000,+/- 8,+/- 16,,,Med. angle elastics (mask0),ENDED ON DAQ CRASH
3417,12/19/14 10:59 AM,12/19/14 11:02 AM,.5M,0.3,5 um Pt,10,,,A' Pairs,1,12,3010/200,,,+/- 8,+/- 16,,,Pile-up studies,
3418,12/19/14 11:06 AM,12/19/14 11:13 AM,.5M,2.2,5 um Pt,50,,,A' Pairs,1,12,3010/200,,,+/- 8,+/- 16,,,Pile-up studies,5nA at the end
3419,12/19/14 11:16 AM,12/19/14 11:40 AM,2.8 M,2.3,5 um Pt,50,,,A' Pairs,1,12,3010/200,,,+/- 8,+/- 16,23.9 MHz,2.0 MHz,Pile-up studies,
3420,12/19/14 11:41 AM,12/19/14 12:09 PM,8.7 M,5,5 um Pt,100,,,A' Pairs,1,12,3010/200,,,+/- 8,+/- 16,,,Pile-up studies,
3421,12/19/14 12:10 PM,12/19/14 12:38 PM,9.8 M,7.6,5 um Pt,150,,,A' Pairs,1,12,3010/200,,,+/- 8,+/- 16,54MHz,5.8MHz,Pile-up studies,
3422,12/19/14 12:39 PM,12/19/14 01:05 PM,10.5M,7.6,5 um Pt,200,,,A' Pairs,1,12,3010/200,,,+/- 8,+/- 16,67MHz,7.7MHz,Pile-up studies,
3423,12/19/14 01:52 PM,12/19/14 02:15 PM,18 M,16,5 um Pt,20,,,Loose Pairs + tight pairs,7,12,3010/200,100,200,+/- 8,+/- 16,16.0 MHz,0.8 MHz,Trigger bits study,Energy dist test
3424,12/19/14 02:16 PM,12/19/14 02:26 PM,2.8M,16,5 um Pt,20,,,Loose Pairs + tight pairs,7,12,3010/200,100,200,+/- 8,+/- 16,17.5 MHz,0.8 MHz,Trigger bits study,Coplanarity test
3426,12/19/14 03:01 PM,12/19/14 03:20 PM,20 M,18,5 um Pt,20,,,Loose Pairs + tight pairs,7,12,3010/200,100,200,+/- 8,+/- 16,18.7 MHz,0.9 MHz,Trigger bits study,Coplanarity test
3427,12/19/14 04:00 PM,12/19/14 04:37 PM,25M,13,5 um Pt,20,,,Loose Pairs + tight pairs,7,12,3010/200,100,200,+/- 8,+/- 16,13.7 MHz,0.7 MHz,Trigger bits study,All A prime cuts
3428,12/19/14 04:40 PM,12/19/14 05:17 PM,166M,78,5 um Pt,20,,,1 cluster,7,12,3010/200,100,200,+/- 8,+/- 16,14.8 MHz,0.8 MHz,Trigger bits study,1 cluster 2 cluster
3429,12/19/14 05:20 PM,23/19/25 05:40 PM,80M,72,5 um Pt,20,,,1 cluster,7,12,3010/200,100,200,+/- 8,+/- 16,25.5 MHz,0.7 MHz,Trigger bits study,1 cluster 2 cluster - Daq Crash
3430,12/19/14 05:49 PM,12/19/14 05:55 PM,2.5 M,44,5 um Pt,20,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,13.5 MHz,0.7 MHz,1 cluster 2 cluster,
3431,12/19/14 06:00 PM,12/19/14 06.20 PM,40 M,50,5 um Pt,200,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,59.8 MHz,6.6 MHz,1 cluster 2 cluster,Daq Crash
3434,12/19/14 07:02 PM,12/19/14 08:40 PM,209 M,39,5 um Pt,160,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,50 MHz,5.1 MHz,1 cluster 2 cluster,
3435,12/19/14 08:41 PM,12/19/14 10:15 PM,200 M,37,5 um Pt,160,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,49 MHz,5.0 MHz,1 cluster 2 cluster,
3436,12/19/14 10:16 PM,12/20/14 11:09 PM,108 M,33,5 um Pt,130,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,45 MHz,5.5 MHz,1 cluster 2 cluster,Daq Crash
3437,12/19/14 11:20 PM,12/20/2014 01.08 AM ,200M,20,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,26MHz,300KHz,1 cluster 2 cluster,
3438,12/20/14 01:10 AM,12/20/14 01:34 AM,174M,30,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,,,1 cluster 2 cluster,daq crash
3439,12/20/14 02:38 AM,,1k,,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,,,1 cluster 2 cluster,DAQ prblems
3441,12/20/14 03:14 AM,12/20/14 03:50 AM,60M,40,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,,,1 cluster 2 cluster,end with DAQ errors
3444,12/20/14 04:12 AM,12/20/14 05:39 AM,195M,37,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,,,1 cluster 2 cluster,
3445,12/20/14 05:40 AM,12/20/14 08:30 AM,200M,16,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,,,1 cluster 2 cluster,
3446,12/20/14 08:30 AM,12/20/14 09:20 AM,38 M,,5 um Pt,150,,,Single + Pairs,7,12,3010/200,100,200,+/- 8,+/- 16,,,1 cluster 2 cluster,
3450,12/20/14 12:03 PM,12/20/14 12:20 PM,5 M,5,NONE,10,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -7%
3451,12/20/14 12:20 PM,12/20/14 12:31 PM,15 M,26,NONE,50,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -7%
